Epoch,Train Loss,MSE,MAE,RMSE,MAPE,Pearson Coeff,R2
1,0.19883306035731296,0.1831073902942466,0.35570767521858215,0.42991483211517334,105.76177835464478,nan,-0.12538690261518326
2,0.16985367975852506,0.16808472479919367,0.33912646770477295,0.4123145639896393,95.94793319702148,nan,-0.035128756737557776
3,0.17317660902443802,0.165696134376857,0.33914774656295776,0.40954020619392395,93.40174794197083,nan,-0.021245440845163
4,0.1646990958747645,0.16905954875983298,0.33968812227249146,0.4130011796951294,88.8067364692688,nan,-0.03857899170015755
5,0.16972054361353534,0.1673483038033039,0.34006267786026,0.40921279788017273,97.6263165473938,nan,-0.01961320651170606
6,0.1649834425412281,0.1715139568350607,0.34095510840415955,0.4121926426887512,100.72894096374512,nan,-0.0345167442965193
7,0.1593347109496333,0.16409844039196167,0.33513322472572327,0.40338248014450073,96.57372236251831,nan,0.00923398763728267
8,0.1711630103672452,0.16069811455566774,0.3267239034175873,0.39985713362693787,87.12125420570374,nan,0.02647586402090152
9,0.16033490612191925,0.17555082489200163,0.34610024094581604,0.4189070463180542,105.25598526000977,nan,-0.06849471001123586
10,0.1615845591936049,0.17489564401624405,0.3478798270225525,0.4172402620315552,102.13449001312256,nan,-0.06000882359265147
11,0.15993024985911936,0.1716797440453912,0.3411639332771301,0.4152677655220032,92.70079135894775,nan,-0.05000984553415799
12,0.16144206914156026,0.1778428706227604,0.3543669283390045,0.42100727558135986,104.24513816833496,nan,-0.0792354202867831
13,0.1604616491034562,0.1700587236919826,0.33426710963249207,0.4138261079788208,79.6160101890564,nan,-0.042732212016446613
14,0.16986565697149222,0.16843263411452297,0.3348354399204254,0.41112464666366577,84.21971201896667,nan,-0.029162676835016388
15,0.15927995569743705,0.16523255115889973,0.33256077766418457,0.40652963519096375,86.37524247169495,nan,-0.006286061716549662
16,0.15910231041433248,0.16536194370763208,0.33745402097702026,0.40734463930130005,93.28975081443787,nan,-0.010324956477303804
17,0.15971683774460677,0.16747681694011193,0.33366432785987854,0.4095025062561035,92.34955906867981,nan,-0.021057382099152644
18,0.16561625779130573,0.1661278286977022,0.33825451135635376,0.4093523919582367,93.58223080635071,nan,-0.020308945066708217
19,0.16366129390098252,0.24293185427615588,0.39274415373802185,0.49729296565055847,84.88276600837708,nan,-0.5057804247158297
20,0.16419606079148152,0.16428662738598168,0.33609455823898315,0.40560096502304077,94.77672576904297,nan,-0.0016938037542062467
21,0.1608257218178638,0.16456251793230572,0.3344690203666687,0.40561386942863464,92.50836372375488,nan,-0.0017574859037663426
22,0.15983922278109985,0.1648705844106529,0.3372892737388611,0.4066571295261383,94.04787421226501,nan,-0.006917237976303614
23,0.15922789771402637,0.1704610848838741,0.34428051114082336,0.41294240951538086,100.16639232635498,nan,-0.03828356892053386
24,0.15852918293668714,0.16211226081118138,0.3298693299293518,0.40385860204696655,88.14169764518738,nan,0.006893839122852907
25,0.15850172690461556,0.1665577284981158,0.34001442790031433,0.40836283564567566,94.62659358978271,nan,-0.01538195137869569
26,0.15864794964873635,0.1627330886661028,0.3338366746902466,0.40459391474723816,93.28908324241638,nan,0.003274136811021844
27,0.157632857626182,0.16551045173275838,0.3391326069831848,0.40814846754074097,92.23498702049255,nan,-0.01431622326411608
28,0.15538860402806096,0.16402393890511846,0.3369480073451996,0.4070049226284027,94.24040913581848,nan,-0.00864032832603523
29,0.15879432575606361,0.16834541506162196,0.3410375714302063,0.41885945200920105,90.94955921173096,nan,-0.06825181980795314
30,0.1592292507244152,0.1786216259251979,0.3571915924549103,0.4293608069419861,104.37042713165283,nan,-0.12248825626810844
